ADDRESS,C01,Expenses,Income
2150113218,2,133208776,63978776
2150114005,5,68503940,72826940
2150114008,5,65323940,68446940
2150114010,4,109953000,114874000
2150114013,4,97787552,44852552
2150115114,1,24686388,12079388
2150115119,8,139683104,78455104
2150115121,4,130874552,88297552
2150115125,4,45037552,47637552
2150115127,4,76935552,42517552
2150116144,3,107945164,73323164
2150116147,6,159266328,88916328
2150116149,2,81017776,27348776
2150116151,7,147491716,196360716
2150116156,4,137809552,97697552
2160001249,5,48280940,53790940
2160001252,5,54469940,55658940
2160001257,2,15612776,14490776
2160001261,2,21821776,9460776
2160002305,6,196284000,110060000
2160002309,5,119547000,151496000
2160002311,4,95155552,15517552
2160002315,5,130900764,62893164
2160002318,5,116407940,100357940
2160003164,7,168342000,163405000
2160003166,5,104039000,84785000
2160004099,4,257781568,98710000
2160004105,6,178117136,96720000
2160004111,4,182380568,123780000
2160005101,4,53723552,40897552
2160005104,4,41517552,27397552
2160005112,3,76150164,52048164
2160006189,8,144146000,140610000
2160006192,4,270224000,217420000
2160006196,4,163127000,85475000
2160006197,4,257140000,157140000
2160007006,2,68812060,83148776
2160007007,3,167343284,97380000
2160007017,5,167646284,120510000
2160008106,4,156546568,97410000
2160008109,4,133714120,78697552
2160008114,5,176108852,118110000
2160008115,5,177060568,126450000
2160008120,5,132716508,46971940
2160009057,2,113350776,14998776
2160009060,3,91559600,86466600
2160009061,2,52913776,60598776
2160009064,3,56344000,54966600
2160010008,4,249687600,82211600
2160010012,5,275051552,132407552
2160010014,4,93969552,34657552
2160010017,5,217164000,56150000
2160011007,4,154328568,119920000
2160011012,3,106713448,42723164
2160011014,3,84065448,29923164
2160011016,5,131722508,37471940
2160012166,1,31060000,22260000
2160012174,7,139808716,100220716
2160013057,3,14677164,13828164
2160013061,5,31189940,23678940
2160013062,5,32009940,59746940
2160013067,4,56797952,116509552
2160014059,3,66154164,57263164
2160014062,4,52062552,31857552
2160014065,5,64374940,28411940
2160014070,4,33420052,33017552
2160014072,3,49396164,19423164
2160015166,3,93737164,42958164
2160015169,5,97544076,216596940
2160015172,5,230686224,78296940
2160015175,2,40842776,43998776
2160015179,4,106101612,45116328
2160016052,2,78318284,44520000
2160016055,2,45850776,30328776
2160016059,2,68214776,38748776
2160017056,5,66921940,122458940
2160017058,5,61789940,104490940
2160018154,5,143619940,42421940
2160018161,4,149240552,208837552
2160018166,5,219990552,41092552
2160019153,4,185278284,96030000
2160019155,3,106261732,55123164
